asu_id,first_name,last_name,email,student_salary_monthly,total_student_debt,interest_rate,repayment_period_years,monthly_emi,loan_start_date,payments_made,remaining_balance,years_remaining,annual_salary,monthly_salary_gross,monthly_salary_net,debt_to_income_ratio,repayment_status,retirement_contribution_pct,monthly_401k_contribution
ASU00000001,Daniel,Garcia,employee1@asu.edu,1000.0,30000,6.54,10,341.25,2021-05-18,53,18243.94,5.6,96000,8000.0,6000.0,5.69,Manageable,14.4,1152.0
ASU00000002,Sarah,Jackson,employee2@asu.edu,800.0,69200,5.5,15,565.42,2018-01-19,93,35020.36,7.2,47000,3916.67,2937.5,19.25,High Burden,1.2,47.0
ASU00000003,Christopher,Smith,employee3@asu.edu,1000.0,41600,6.08,10,463.52,2017-05-11,102,10868.62,1.5,35000,2916.67,2187.5,21.19,High Burden,0.4,11.67
ASU00000004,Matthew,Rodriguez,employee4@asu.edu,800.0,48100,6.54,15,420.06,2024-05-01,17,43458.34,13.6,46000,3833.33,2875.0,14.61,Moderate Burden,6.5,249.17
ASU00000005,James,Smith,employee5@asu.edu,800.0,77400,4.99,20,510.38,2016-07-17,112,40244.34,10.7,49000,4083.33,3062.5,16.67,High Burden,3.2,130.67
ASU00000006,Jessica,Jones,employee6@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,77000,6416.67,4812.5,0.0,No Debt,10.7,686.58
ASU00000007,Christopher,Brown,employee7@asu.edu,1000.0,68600,5.28,10,737.03,2021-08-30,49,45125.59,5.9,52000,4333.33,3250.0,22.68,High Burden,0.0,0.0
ASU00000008,David,Thomas,employee8@asu.edu,800.0,30000,7.05,10,349.1,2017-08-28,98,7762.33,1.8,72000,6000.0,4500.0,7.76,Manageable,13.3,798.0
ASU00000009,Daniel,Taylor,employee9@asu.edu,800.0,30000,5.5,10,325.58,2016-06-18,113,6086.15,0.6,46000,3833.33,2875.0,11.32,Moderate Burden,8.2,314.33
ASU00000010,Maria,Thomas,employee10@asu.edu,800.0,30000,4.99,10,318.05,2019-09-12,73,14908.53,3.9,42000,3500.0,2625.0,12.12,Moderate Burden,4.8,168.0
